Text,Name,Created At,Tweet Type
"RT @NicholsUprising : They’re spending $4 million to try &amp; beat @IlhanMN.

@AOC says, “It just tells you how damn effective she is against big real estate, against our military industrial complex, against our Wall Street complex, against basically every corrupt institution...”

https://t.co/f11FTnB8Q4",Alexandria Ocasio-Cortez,Tue Aug 11 19:38:42 +0000 2020,Retweet
"Minnesota:

Today is primary day, and a wonderful day to re-elect Ilhan Omar!

Ilhan’s progressive national leadership has brought transformative approaches to healthcare, housing, and more.

Head to the polls and remind your friends and family to vote as well. 🗳 https://t.co/CpmDEPRGq8",Alexandria Ocasio-Cortez,Tue Aug 11 19:09:16 +0000 2020,Tweet
"RT @NPRinskeep : Startling: Kimberly Karol, of postal service workers' union in Waterloo, Iowa, tells @noelking the USPS not only banned overtime, but is having sorting machines removed in her area: ""That also hinders our ability to process mail."" @NPR",Alexandria Ocasio-Cortez,Tue Aug 11 19:03:44 +0000 2020,Retweet
"RT @HBO : “Injustice is not built to last.”  — @AOC

The new documentary, Seeing America with @mPinoe premieres tomorrow at 10 pm. https://t.co/jPXoPEfX7Y",Alexandria Ocasio-Cortez,Sun Aug 09 01:26:44 +0000 2020,Retweet
"RT @tedlieu : I’m going to keep shouting this: with conservative control of Supreme Court, WH &amp; Senate, the House can’t stop voter suppression. That means we must prepare voters to overcome it. If you’re going to vote by mail, then vote early. If you’re voting on 11/3, then expect long lines. https://t.co/JDQoI5E5i4",Alexandria Ocasio-Cortez,Sat Aug 08 21:54:27 +0000 2020,Retweet
"Billionaires need the working class. 

The working class does not need billionaires.",Alexandria Ocasio-Cortez,Sat Aug 08 17:45:56 +0000 2020,Tweet
"Another reason we need real economic support for families (extended UI, stimulus checks, payment relief, etc) is to make school reopening plans w/ the purpose of maximizing public health, rather than sacrifice peoples’ lives to fuel an economy that doesn’t even value theirs.",Alexandria Ocasio-Cortez,Sat Aug 08 15:34:04 +0000 2020,Reply
"If it’s not safe enough for indoor dining, what makes it safe enough for indoor schooling?

(...and restaurants actually have soap in the bathrooms)",Alexandria Ocasio-Cortez,Sat Aug 08 15:20:04 +0000 2020,Tweet
"This direct aid has benefited over 40 diff efforts, from food distribution w @hungrymonknyc to helping immigrant families excluded from the CARES Act w/ @NYSYLC &amp; @VendorPower.

In a just society, none of this would be necessary. But we’ll do everything we can until we get there.",Alexandria Ocasio-Cortez,Sat Aug 08 01:11:52 +0000 2020,Reply
"As federal response continues to be insufficient, our supporters have been stepping up to help families ourselves.

I’m proud to announce that #TeamAOC has raised over *$1 million* in direct aid to people - all from small dollar, grassroots donations. https://t.co/1rzwcCqCZX",Alexandria Ocasio-Cortez,Sat Aug 08 01:06:01 +0000 2020,Tweet
RT @jameshohmann : 23 postal executives were reassigned or displaced in today’s shakeup. The new structure centralizes power around a Trump megadonor and de-emphasizes decades’ worth of institutional postal knowledge. ✉️  https://t.co/IZ2eLhtXQc,Alexandria Ocasio-Cortez,Sat Aug 08 00:45:37 +0000 2020,Retweet
@PrincesSydney_ So glad we could help you all out. Stay safe!,Alexandria Ocasio-Cortez,Fri Aug 07 19:37:43 +0000 2020,Reply
"RT @SenSanders : If we could bail out large corporations, please do not tell me that we cannot save the Postal Service. https://t.co/wU6hIBiO7r",Alexandria Ocasio-Cortez,Fri Aug 07 18:31:34 +0000 2020,Retweet
"RT @paulkrugman : Sorry, but I don’t take supposed deficit hawks seriously unless they’re willing to give up something they want. If they’re fine with tax cuts but balk at helping the unemployed, they’re frauds https://t.co/FsHY3Qwl1M",Alexandria Ocasio-Cortez,Fri Aug 07 14:18:02 +0000 2020,Retweet
RT @ZerlinaMaxwell : She has a degree in economics https://t.co/FXrq80aYzu,Alexandria Ocasio-Cortez,Fri Aug 07 00:48:40 +0000 2020,Retweet
"Our Fall series of #TeamAOC Organizing workshops are here!

Want to learn how to set up a childcare collective, organize your workplace for COVID safety, and more?

Join us and learn!

RSVP: https://t.co/xafl2ijTru https://t.co/liPEWjzg9w",Alexandria Ocasio-Cortez,Fri Aug 07 00:41:54 +0000 2020,Tweet
"RT @HispanicCaucus : .@CBP agents shared vulgar images of men sexually assaulting @RepAOC.

They mocked @RepEscobar.
 
They joked about migrants dying.

They wrote racist comments about Latinos.

Now @CBP is obstructing an investigation &amp; protecting agents from accountability. https://t.co/V3cGMeWjM8",Alexandria Ocasio-Cortez,Thu Aug 06 20:41:56 +0000 2020,Retweet
https://t.co/CJkqEfJxqL,Alexandria Ocasio-Cortez,Thu Aug 06 19:28:07 +0000 2020,Reply
"The incentives are certainly there.

Dems believe in antitrust, reigning in monopolies, and checking abuse of corporate power.

Zuckerberg himself said he’d go “to the mat and fight” against these points.

Could that include weaponizing FB’s platform to influence our elections? https://t.co/Z5tPm9D52W",Alexandria Ocasio-Cortez,Thu Aug 06 19:27:58 +0000 2020,Reply
"Remember when I asked Zuckerberg why he allowed a white supremacist-linked org to be an official fact checker for Facebook and he wouldn’t give a straight answer?

Maybe this is why: Facebook’s right-wing radicalization funnels are looking increasingly intentional &amp; designed ⬇️ https://t.co/AGaQwR6g3E",Alexandria Ocasio-Cortez,Thu Aug 06 19:19:14 +0000 2020,Tweet
"@stevenjfrisch This account is labeled as a “campaign” account bc I engage in advocacy on it.

My governmental account is @RepAOC, where I share our legislative efforts, public announcements, etc.",Alexandria Ocasio-Cortez,Thu Aug 06 17:30:56 +0000 2020,Reply
"So... while 2020 is highly unpredictable, I *definitely* did not expect to be nominated for an Emmy Award for our Green New Deal project with @theintercept, @mollycrabapple, @NaomiAKlein &amp; others.

Rather shocked &amp; very grateful.

Please watch it here:
https://t.co/IMCtS86VXG https://t.co/EYvVR3hnen",Alexandria Ocasio-Cortez,Thu Aug 06 17:01:33 +0000 2020,Tweet
@PrincesSydney_ DMing you now to connect you with our team,Alexandria Ocasio-Cortez,Thu Aug 06 16:49:26 +0000 2020,Reply
