Text,Name,Created At,Tweet Type
RT @CDCEnvironment : Dry conditions in much of the United States increase the potential for wildfires in or near wilderness areas. Stay alert for wildfire warnings and take action to protect yourself and your family from #wildfire smoke. https://t.co/rAIbjaLkzM https://t.co/CieH0vb9O6,CDC,Tue Aug 11 23:05:02 +0000 2020,Retweet
"RT @CDCDirector : #COVID19 may impact circulation of enteroviruses that cause #AcuteFlaccidMyelitis. Preparing for a possible AFM outbreak in 2020, CDC has strengthened systems for faster case reporting, classification, and response. Clinicians, be vigilant. Visit https://t.co/g8fwV2DApF https://t.co/szMmxkvuRm",CDC,Tue Aug 11 22:42:01 +0000 2020,Retweet
"RT @Surgeon_General : You've seen a lot of posts about #WorldMaskWeek...but do you have your own mask or cloth face covering?

I'm proof that you can easily make one with items you likely have at home. Check it out 👇 https://t.co/jAhHpMnbwX",CDC,Tue Aug 11 22:05:01 +0000 2020,Retweet
"A new tool that repels &amp; kills #mosquitoes &amp; #ticks. @EPA registers nootkatone, an active ingredient from #nature found in fruits such as grapefruit. Manufacturers can start developing products to protect people from mosquito &amp; tick bites. https://t.co/NA0O9zhlU9 https://t.co/HCKMCR9RlH",CDC,Tue Aug 11 21:33:01 +0000 2020,Tweet
RT @CDCDirector : Take steps to keep your friends and family safe when visiting those at higher risk for severe illness from #COVID19. Learn more at https://t.co/F0tIcSLMWZ https://t.co/2Qc8Lb0TxV,CDC,Tue Aug 11 21:30:06 +0000 2020,Retweet
Wear a mask in public. Stay at least 6 feet away from others who don’t live in your household. Wash your hands often. Help slow the spread of #COVID19. Learn more: https://t.co/jkWwZTxyhs. #WorldMaskWeek #WearAMask https://t.co/RrkM428ggA,CDC,Tue Aug 11 20:54:02 +0000 2020,Tweet
Could you or a loved one be at increased risk for COVID-19? Underlying medical conditions and lack of access to quality healthcare are more common among some racial and ethnic groups. These factors can lead to more severe #COVID19 illness. Learn more: https://t.co/Iw21OtZZcw. https://t.co/pSLqGtA54C,CDC,Tue Aug 11 20:22:03 +0000 2020,Tweet
"#COVID19 spreads mainly among people who are in close contact with one another (less than 6 ft). Wear a mask in public &amp; when around people not living in your household, especially when social distancing is difficult to maintain. https://t.co/jkWwZTxyhs #WearAMask #WorldMaskWeek https://t.co/rzVjZ4sVuE",CDC,Tue Aug 11 19:14:00 +0000 2020,Tweet
A new report in @CDCMMWR shows that testing all nursing home residents and staff soon after identifying the first person with #COVID19 helps identify additional infections. Early intervention may help control spread of the virus. Learn more: https://t.co/B9sRdZYvVk. https://t.co/3HK3kI9hgN,CDC,Tue Aug 11 18:25:02 +0000 2020,Tweet
A new @CDCMMWR report about an outbreak at a Maryland nursing home found that the percentage of residents testing positive for #COVID19 was higher among residents receiving dialysis compared to those who were not. Learn more here: https://t.co/hia6GWMxnp. https://t.co/Eud7A6nxKl,CDC,Tue Aug 11 17:11:06 +0000 2020,Tweet
