Text,Name,Created At,Tweet Type
"For future updates from Mrs. Obama, be sure to follow @MichelleObama.",First Lady- Archived,Thu Jan 19 18:15:52 +0000 2017,Tweet
"Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z",First Lady- Archived,Thu Jan 19 00:12:26 +0000 2017,Tweet
Taking it in on one last walk through the People's House. https://t.co/uaAn6j8Ygy,First Lady- Archived,Wed Jan 18 17:26:44 +0000 2017,Tweet
Thank you for the birthday wishes and for the greatest gift of all: the opportunity to serve as your First Lady. –mo https://t.co/erjZA6WUXz,First Lady- Archived,Wed Jan 18 02:20:13 +0000 2017,Tweet
RT @facinghistory : We've teamed up with @FLOTUS &amp; @BetterMakeRoom to inspire US high school students! https://t.co/w02CBSJ0K7 #BetterMakeRoom @ReachHigher https://t.co/ob91aWfIcx,First Lady- Archived,Tue Jan 17 22:29:29 +0000 2017,Retweet
"RT @POTUS44 : From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",First Lady- Archived,Tue Jan 17 01:50:55 +0000 2017,Retweet
Thinking of Dr. King and great leaders like @repjohnlewis who carry on his legacy. May their example be our call to action. -mo,First Lady- Archived,Mon Jan 16 16:30:18 +0000 2017,Tweet
"RT @Rosholm44 : For 6.5 years I’ve had to convince myself that working here wasn’t a dream. I'm so grateful. From here on, follow me at @jojorosholm.",First Lady- Archived,Fri Jan 13 19:30:44 +0000 2017,Retweet
RT @FallonTonight : Thank You Notes: @FLOTUS Edition! #FallonTonight https://t.co/4skOLXIL4B https://t.co/8x2m6pXUWS,First Lady- Archived,Thu Jan 12 05:29:45 +0000 2017,Retweet
You won't want to miss it! Join the First Lady for a special episode of @FallonTonight. https://t.co/iLjt4wRQGb,First Lady- Archived,Thu Jan 12 04:05:20 +0000 2017,Tweet
RT @FallonTonight : Tonight: @FLOTUS Michelle Obama and talk + performance from the legendary Stevie Wonder! Don't miss it! #FallonTonight https://t.co/14OUqIIzzv,First Lady- Archived,Wed Jan 11 19:55:14 +0000 2017,Retweet
"Hello, New York! 💁🏽

The First Lady joins @JimmyFallon on @FallonTonight. Tune in at 11:35pm ET. https://t.co/d3j82usxFI",First Lady- Archived,Wed Jan 11 19:54:55 +0000 2017,Tweet
So proud of @POTUS and all that we've accomplished together. An incredible journey filled with remarkable people. I love you Barack. -mo https://t.co/TFUN3GDLyz,First Lady- Archived,Wed Jan 11 03:30:26 +0000 2017,Tweet
"RT @BetterMakeRoom : This is just the beginning. Watch our newest PSA, and join the movement at https://t.co/VlBKruOg8s. 
#BetterMakeRoom https://t.co/gOdW93aYW2",First Lady- Archived,Sat Jan 07 16:54:31 +0000 2017,Retweet
"""Being your First Lady has been the greatest honor of my life, and I hope I made you proud."" —The First Lady https://t.co/8INNaOIdt1",First Lady- Archived,Fri Jan 06 19:27:01 +0000 2017,Tweet
"“Don’t ever let anyone make you feel like you don’t matter, or like you don’t have a place in our American story – you do.” –The First Lady",First Lady- Archived,Fri Jan 06 17:07:32 +0000 2017,Tweet
"""You see, our glorious diversity of faiths, colors and creeds is not a threat to who we are – it makes us who we are.” –The First Lady",First Lady- Archived,Fri Jan 06 17:06:52 +0000 2017,Tweet
"“If you work hard, if you get a good education, anything is possible - that’s what the American Dream is all about.” –The First Lady",First Lady- Archived,Fri Jan 06 17:06:04 +0000 2017,Tweet
“If you or your parents are immigrants - you are part of a proud American tradition that has made us the greatest country on earth.” -FLOTUS,First Lady- Archived,Fri Jan 06 17:05:11 +0000 2017,Tweet
"“I want our young people to know that this country belongs to you – to all of you, from every background and walk of life.” –The First Lady",First Lady- Archived,Fri Jan 06 17:03:17 +0000 2017,Tweet
"""I can think of no better message to send our young people in my last official speech as First Lady."" -The First Lady #ReachHigher",First Lady- Archived,Fri Jan 06 17:02:51 +0000 2017,Tweet
“Our school counselors are truly among the heroes of the #ReachHigher story.” –The First Lady celebrating the work of school counselors.,First Lady- Archived,Fri Jan 06 17:00:20 +0000 2017,Tweet
"“Today, the high school graduation rate is at a record high and more young people than ever before are going to college.” –The First Lady",First Lady- Archived,Fri Jan 06 16:58:54 +0000 2017,Tweet
"""We are very proud of all that this Administration has done to make higher education more affordable.” –The First Lady #ReachHigher",First Lady- Archived,Fri Jan 06 16:57:04 +0000 2017,Tweet
“We wanted to change the conversation around what it means to be a success in this country.” –The First Lady on the goals of #ReachHigher.,First Lady- Archived,Fri Jan 06 16:54:36 +0000 2017,Tweet
"""We are thrilled to celebrate the 2017 School Counselor of the Year!"" -The First Lady at the @WhiteHouse. #ReachHigher",First Lady- Archived,Fri Jan 06 16:53:13 +0000 2017,Tweet
RT @ObamaWhiteHouse : Happening now: @FLOTUS delivers her final remarks at today’s #ReachHigher event at the White House: https://t.co/Qgqlf1t9sh https://t.co/ZcZNWLyvdq,First Lady- Archived,Fri Jan 06 16:41:27 +0000 2017,Retweet
Starting Soon: The First Lady's final #ReachHigher event at the White House. Watch live: https://t.co/c4Oom7C9mY,First Lady- Archived,Fri Jan 06 16:33:34 +0000 2017,Tweet
