Text,Name,Created At,Tweet Type
Thank you to all of our #PurpleHeart recipients for your sacrifice &amp; devotion to our country. Americans are forever grateful for your service &amp; the world is a safer place because of you. #PurpleHeartDay https://t.co/sqO1otnP9D,Melania Trump,Fri Aug 07 13:06:44 +0000 2020,Tweet
"#FosterCare is of great importance to me as part of my #BeBest campaign. The Administration’s recent Executive Order addresses many of the obstacles children in the foster system face in finding a forever family, but there is still more work to be done. https://t.co/xXcgVUUyRv",Melania Trump,Fri Jul 31 15:20:02 +0000 2020,Tweet
Thank you @USAttnyShores for sharing the important work you are doing to protect Native American children in the @IHSgov system &amp; your dedication to preventing abuses towards some of our Nation's most vulnerable children. https://t.co/cpseUKbO6J,Melania Trump,Fri Jul 31 13:50:14 +0000 2020,Tweet
"RT @ACFHHS : Through roundtables, engaging directly w/governors, human srvcs leaders, philanthropic &amp; faith-based orgs, Lynn Johnson &amp; @FLOTUS are working to support kids in #fostercare. This initiative is aimed at achieving permanency for kids waiting for placement. https://t.co/xzcvvDnaTZ https://t.co/gQkka49z5s",Melania Trump,Thu Jul 30 17:04:04 +0000 2020,Retweet
"RT @WhiteHouse : This week, @FLOTUS participated in a briefing with 12 foster youth interns from the Congressional Coalition on Adoption about the policy solutions the interns have been working on during their summer internship program! https://t.co/UdSuY61LUr https://t.co/brP78N6fiO",Melania Trump,Thu Jul 30 15:58:25 +0000 2020,Retweet
Yesterday I held a virtual roundtable with the @CCAInstitute #FosterYouth Intern Group. We discussed their ideas to improve #FosterCare policy &amp; proposals for child welfare advocates across the country. Thank you for your efforts to raise awareness to policymakers. #BeBest https://t.co/2V8LdQ04az,Melania Trump,Tue Jul 28 14:00:17 +0000 2020,Tweet
https://t.co/7mDAAGQbh7,Melania Trump,Mon Jul 27 21:28:00 +0000 2020,Tweet
https://t.co/lm24bky6tf,Melania Trump,Mon Jul 27 15:35:12 +0000 2020,Reply
"Even in the most difficult times, the @WhiteHouse Rose Garden has stood as a symbol of strength &amp; continuity. Today, it is my pleasure to announce our plans to renew &amp; restore this iconic space so that we preserve its history &amp; beauty for generations to come.",Melania Trump,Mon Jul 27 15:35:12 +0000 2020,Tweet
Today we honor the 30th Anniversary of the passing of the Americans with Disabilities Act. Thank you to @usedgov &amp;@ED_Sped_Rehab for utilizing this landmark legislation to improve education access and technical support for children with disabilities. #ADA30#BeBest https://t.co/lS7pe6ep61,Melania Trump,Sun Jul 26 12:59:37 +0000 2020,Tweet
RT @TomColeOK04 : Very proud of @FLOTUS and @WhiteHouse's work coordinating with @IHSgov to prevent abuse and promote the safety and well-being of Native American children. https://t.co/olZQR5mKAp,Melania Trump,Fri Jul 24 18:58:14 +0000 2020,Retweet
RT @WashTimes : White House task force calls for changes in Indian Health Service to help child-abuse victims https://t.co/PA1E6O9HfP,Melania Trump,Fri Jul 24 16:00:35 +0000 2020,Retweet
"RT @WhiteHouse : ""Native American children, like all children, deserve to grow up in a safe, supportive, nurturing environment,"" @FLOTUS said. 

The Trump Administration is committed to protecting the health and well-being of every American child in every American community. https://t.co/V6XOcKR9Uy",Melania Trump,Fri Jul 24 14:49:13 +0000 2020,Retweet
Today I had a briefing w the Presidential Task Force on Protecting Native American Children in the @IHSgov system &amp; discussed their findings &amp; recommendations to protect the safety of children in Native American communities. Thank you for your work to keep children safe! #BeBest https://t.co/vmFt3JwWrC,Melania Trump,Thu Jul 23 23:46:28 +0000 2020,Tweet
Informative briefing with the Presidential Task Force on Protecting Native American Children in the @IHSgov system. The work of the IHS is vital &amp; I am encouraged to see the Task Force come together to protect vulnerable children in our Native American communities. https://t.co/PI09ToNtKX,Melania Trump,Thu Jul 23 21:32:52 +0000 2020,Tweet
https://t.co/4ByxLmuRf1,Melania Trump,Thu Jul 23 21:23:58 +0000 2020,Tweet
RT @WhiteHouse : LIVE: @FLOTUS at Briefing on Protecting Native American Children https://t.co/ABdbaAM3TO,Melania Trump,Thu Jul 23 14:08:22 +0000 2020,Retweet
https://t.co/ojTD8lwsGL,Melania Trump,Wed Jul 22 01:39:49 +0000 2020,Tweet
Today I joined @FEMA_Pete &amp; the Youth Preparedness Council to learn about the innovative ways they are engaging their communities on disaster preparedness. Thank you @FEMA for empowering these young leaders &amp; ensuring they have the tools they need to stay safe. #YouthPrep #BeBest https://t.co/9k2bcKCuVz,Melania Trump,Wed Jul 22 00:23:39 +0000 2020,Tweet
Thank you to all of the children who participated in our 19th Amendment project. Selecting the beautiful art that will be displayed at our event at the @WhiteHouse now - very hard to choose! #BeBest #BuildingTheMovementExhibit https://t.co/LJ6kdED8eE,Melania Trump,Sun Jul 19 14:35:41 +0000 2020,Tweet
"Thank you @dcfireems &amp; @DCPoliceDept members for a great conversation at Engine Company 9 fire station. Your work is essential to keeping our citizens &amp; youth safe, &amp; proof that we must work together to build stronger connections between first responders &amp; communities. #BeBest https://t.co/aKXdmPyjdJ",Melania Trump,Sat Jul 18 13:02:01 +0000 2020,Tweet
https://t.co/3AB073cqpT,Melania Trump,Wed Jul 15 21:00:12 +0000 2020,Tweet
"Today I met w/ @dcfireems &amp; @DCPoliceDept members at Engine Company 9 fire station to drop off face masks, boxed lunches &amp; other #BeBest items to show my appreciation for their work to provide critical life-saving services to keep our local communities healthy, secure &amp; safe. https://t.co/GwpEUTK5Ll",Melania Trump,Wed Jul 15 20:20:24 +0000 2020,Tweet
"Even in the summer months, please remember to wear face coverings &amp; practice social distancing. The more precaution we take now can mean a healthier &amp; safer country in the Fall. https://t.co/80dGOWIyDJ",Melania Trump,Tue Jul 14 16:05:09 +0000 2020,Tweet
"It was a pleasure to spend time with the staff, mothers &amp; children at The Mary Elizabeth House, a place that helps strengthen families &amp; provides life skills, counseling &amp; educational resources to help vulnerable single women &amp; their children. #BeBest https://t.co/hQSjP0sHi1",Melania Trump,Sun Jul 12 13:59:35 +0000 2020,Tweet
"RT @FocusCitizen : In a statement to The Daily Citizen, the @FLOTUS said, “It is important that, even in these challenging times, we find ways to help &amp; connect with people &amp; acknowledge the important work that is being done in countless communities across the United States.https://t.co/cM04oLDotg",Melania Trump,Sat Jul 11 20:50:19 +0000 2020,Retweet
"RT @DailyCaller : .@FLOTUS made a surprise visit and delivered box lunches to the Mary Elizabeth House women and children’s shelter in Washington, D.C. on Thursday.

“It is important that, even in these challenging times, we find ways to help and connect with people..."" 
https://t.co/BBkp2XIHeE",Melania Trump,Sat Jul 11 00:47:36 +0000 2020,Retweet
"Today I visited The Mary Elizabeth House, an inspiring place &amp; supportive community for young women &amp; children. I met w staff, mothers &amp; children, &amp; dropped off boxed lunches &amp; #BeBest items to show my appreciation for their efforts to strengthen families in our community. https://t.co/lR8vTfrx8u",Melania Trump,Thu Jul 09 22:05:17 +0000 2020,Tweet
https://t.co/Oaj9aIL89K,Melania Trump,Thu Jul 09 20:24:51 +0000 2020,Tweet
"RT @WVGOP : West Virginia is grateful to have the attention and love First Lady Melania Trump and President Donald Trump have shown to our state! Together, we can build a better West Virginia. #BeBest #TeamTrump https://t.co/Fqat3kqPSa",Melania Trump,Wed Jul 08 19:22:03 +0000 2020,Retweet
"In #WV last year, I met women who shared how the opioid epidemic had affected them &amp; the importance community efforts had on recovery. As #COVID19 has left many feeling alone &amp; at risk, let’s continue to share resources so that all victims are more willing to seek help. #BeBest https://t.co/qb8ulT6AAu",Melania Trump,Wed Jul 08 16:48:53 +0000 2020,Tweet
"RT @thehill : First Lady Melania Trump: ""Children's mental health and social development must be as much of a priority as physical health."" https://t.co/Zpq3lXRfut",Melania Trump,Wed Jul 08 16:14:56 +0000 2020,Retweet
"Informative Summit @WhiteHouse today on Safely Reopening America’s Schools with @POTUS, @VP, @SecondLady, State &amp; local leaders, health professionals, parents &amp; teachers. We heard thoughtful &amp; expert insight on reopening schools safely to protect the well-being of our children. https://t.co/TayUkkxYqJ",Melania Trump,Wed Jul 08 01:55:03 +0000 2020,Tweet
"RT @WhiteHouse : ""As we continue to come together as Americans to tackle these challenges, I'm honored that you could all be here today to offer your thoughts. I look forward to working with you to make sure that America's children and families can be healthy and thriving."" https://t.co/2QTcQ51aTh",Melania Trump,Tue Jul 07 20:59:58 +0000 2020,Retweet
"RT @WhiteHouse : Today at the White House, we're hosting a National Dialogue on Safely Reopening America's Schools. 

Watch the full event online, beginning at 12:15 p.m. ET! https://t.co/EmsdctGWtd https://t.co/JTtcpOSKQh",Melania Trump,Tue Jul 07 16:08:50 +0000 2020,Retweet
RT @WomensVote100 : Reminder: Submit your artwork for “Building the Movement” by 5pm(ET) today! First Lady Melania Trump is honoring the #WomensVote100 centennial with this student art project. Students grades 3-12 are encouraged to participate. Learn more here: https://t.co/AUVJplTFdN @FLOTUS https://t.co/Q9xKy57nor,Melania Trump,Mon Jul 06 19:08:37 +0000 2020,Retweet
"RT @WhiteHouse : The deadline for students to submit entries for @FLOTUS' art exhibit celebrating the centennial anniversary of the 19th amendment is TONIGHT at 5:00 p.m. ET! 

How to participate: https://t.co/1d5oWN4KQT",Melania Trump,Mon Jul 06 15:35:43 +0000 2020,Retweet
"RT @WFRW : Thank you to @FLOTUS  First Lady Melania Trump for her new initiative for our American youth: Building the Movement: America’s Youth Celebrate 100 Years of Women’s Suffrage!  #WomensSuffrage #100yearsago 
https://t.co/TQdVCCgCRD https://t.co/2HHm7y3u5W",Melania Trump,Sun Jul 05 18:28:10 +0000 2020,Retweet
"With just one day left, we are still receiving great artwork from children all across the country. Please join us in celebrating the 100th Anniversary of the Ratification of the 19th Amendment by submitting your child's artwork. Entries due tomorrow! https://t.co/LLdCtBaXaD",Melania Trump,Sun Jul 05 16:45:52 +0000 2020,Tweet
"RT @WB_DOL : A great way for your children to learn about the fight for women’s constitutional right to vote is by submitting original art to @FLOTUS’s initiative, “Building the Movement: America’s Youth Celebrate 100 Years of Women’s Suffrage.” Learn more: https://t.co/y4CXSHKeGS",Melania Trump,Sun Jul 05 16:42:53 +0000 2020,Retweet
It was a beautiful evening at the @WhiteHouse celebrating #IndependenceDay 🇺🇸 https://t.co/EGVnk0vNaP,Melania Trump,Sun Jul 05 16:23:08 +0000 2020,Tweet
"RT @realDonaldTrump : On this wonderful day, we celebrate our history, our heroes, our heritage, our flag, and our FREEDOM. Happy Fourth of July to Everyone! #SaluteToAmerica https://t.co/hdPIu30KK1",Melania Trump,Sun Jul 05 15:04:41 +0000 2020,Retweet
RT @WhiteHouse : https://t.co/MoAIvhXDi5,Melania Trump,Sun Jul 05 15:04:23 +0000 2020,Retweet
Wishing all American's a happy and safe #4thofJuly! Looking forward to celebrating the birth of our great Nation &amp; the signing of the Declaration of Independence with @POTUS at the @WhiteHouse this evening! 🇺🇸,Melania Trump,Sat Jul 04 16:25:11 +0000 2020,Tweet
Wonderful evening at the majestic #MountRushmore celebrating the spirit of America’s Independence &amp; witnessing a beautiful display of fireworks. Let’s reflect on the ideals that make this country great &amp; always remember the blessings of freedom &amp; liberty. #IndependenceDay https://t.co/oOUMtSDOou,Melania Trump,Sat Jul 04 16:21:30 +0000 2020,Tweet
Heading to #SouthDakota to see the fireworks at the beautiful #MountRushmore to celebrate American #IndependenceDay &amp; the beauty &amp; greatness of our nation. #FourthofJuly https://t.co/Ezyb3wPFuQ https://t.co/fRIyeqMjhv,Melania Trump,Sat Jul 04 00:02:14 +0000 2020,Tweet
RT @RepAdrianSmith : I encourage all #NE03 youth to consider participating in @FLOTUS' program celebrating the centennial of the #19thAmendment. Click the link below for information. Submissions are due July 6th. https://t.co/oM0d5Tnxuu,Melania Trump,Fri Jul 03 15:51:31 +0000 2020,Retweet
RT @MMLeague : Help students learn about 100 years of women’s suffrage while exhibiting their artistic talents. The First Lady encourages them to submit artwork for suffrage exhibit by July 6. Learn more. @1650Project @EmilyKielis https://t.co/PkBit87OD0,Melania Trump,Thu Jul 02 01:07:50 +0000 2020,Retweet
"I have enjoyed seeing the beautiful artwork submissions from America’s youth across the country! Join us in celebrating the #19thAmendment &amp; submit your child's art here today! Entries due July 6th!
https://t.co/LLdCtBaXaD",Melania Trump,Wed Jul 01 18:58:55 +0000 2020,Tweet
"Thank you Christina for your tireless efforts advocating for children in foster care, &amp; for joining us yesterday! It is the dedication &amp; inspiring stories from people like you that will help children through difficult times. #BeBest https://t.co/08iTMxwuF0",Melania Trump,Wed Jul 01 14:40:24 +0000 2020,Tweet
RT @GovMikeDeWine : ➡ @FranDeWine and I were honored to talk with @FLOTUS Melania Trump via video conference this afternoon about the work of Ohio’s Children Services Transformation Advisory Council -- which I convened last fall to conduct a top-down review of #Ohio’s foster care system. https://t.co/zHbTaIGTaj,Melania Trump,Wed Jul 01 13:30:44 +0000 2020,Retweet
"RT @WhiteHouse : Today, @FLOTUS held a virtual roundtable to discuss the Trump Administration’s ongoing efforts to support safe, stable, and permanent families for children and youth in our foster care system!  https://t.co/VDC6JY8F9Z",Melania Trump,Wed Jul 01 01:36:25 +0000 2020,Retweet
"Thanks to @SecAzar, @GovMikeDeWine, @GovChrisSununu &amp; other leaders for joining our roundtable today on strengthening our child welfare system. We must confront the challenges &amp; impacts for the vulnerable children in the foster care system &amp; protect the well-being of all youth. https://t.co/WVfS3jLJWz",Melania Trump,Wed Jul 01 01:10:07 +0000 2020,Tweet
RT @SenMastriano : HAPPENING NOW: participating in a Zoom meeting with the First Lady of the United States regarding foster care. @FLOTUS @PASenateGOP https://t.co/OcZ6bvXjxL,Melania Trump,Tue Jun 30 20:46:26 +0000 2020,Retweet
"RT @MayorGiles : The @WhiteHouse is hosting an art contest for grades 3-12 to celebrate the 100th anniversary of the 19th Amendment, which gave American women the right to vote. The deadline to submit is July 6. Find out more at https://t.co/9H72lfD2xA https://t.co/GRGO905uQg",Melania Trump,Tue Jun 30 13:45:25 +0000 2020,Retweet
