Text,Name,Created At,Tweet Type,,,
"Back when Kamala was Attorney General, she worked closely with Beau. I watched as they took on the big banks, lifted up working people, and protected women and kids from abuse. I was proud then, and I'm proud now to have her as my partner in this campaign.",Joe Biden,Tue Aug 11 20:17:32 +0000 2020,Reply,,,
"I have the great honor to announce that I’ve picked @KamalaHarris — a fearless fighter for the little guy, and one of the country’s finest public servants — as my running mate.",Joe Biden,Tue Aug 11 20:17:32 +0000 2020,Tweet,,,
"Don't forget that in the middle of this pandemic, the Trump Administration is in court trying to eliminate Obamacare and rip health insurance away from millions. It's heartless.

I'll protect and build on the ACA to ensure everyone gets the care they need. https://t.co/IwFG48ED9h",Joe Biden,Tue Aug 11 16:00:00 +0000 2020,Tweet,,,
"I promise you if I'm elected, I won't waste any time getting this virus under control.

I'll call Dr. Fauci and ask him to stay on. I'll bring together top experts and leaders from both parties to chart a path forward.

We'll get it done, together.",Joe Biden,Tue Aug 11 13:20:00 +0000 2020,Tweet,,,
"This is the latest dire consequence of Donald Trump looking the other way on Beijing's repression in Hong Kong. Instead of standing for freedom and democracy, he consistently stands with Xi Jinping.

I'll put American values back at the center of our foreign policy. https://t.co/3RAZOeVtHr",Joe Biden,Tue Aug 11 02:31:28 +0000 2020,Tweet,,,
Social Security is the bedrock of American retirement — giving countless Americans peace of mind and the ability to retire with dignity. I've been fighting to protect and expand the program throughout my career — and I'll continue that fight as president.,Joe Biden,Tue Aug 11 00:40:00 +0000 2020,Tweet,,,
"Folks, we need to listen to our frontline heroes. Wear a mask. It’s not just about you. It’s about keeping your family, neighbors, and fellow citizens safe. https://t.co/pbI6UVhqvh",Joe Biden,Mon Aug 10 22:30:00 +0000 2020,Tweet,,,
Bristol Bay is no place for a mine — our administration decided that in 2014. We're only discussing it today because Donald Trump's EPA reversed course hours after a closed-door meeting with the mining company's CEO. https://t.co/RG38v0dRDk,Joe Biden,Mon Aug 10 21:00:00 +0000 2020,Tweet,,,
"Donald Trump said that if he’s re-elected, he’ll defund Social Security.

We can't let that happen.",Joe Biden,Mon Aug 10 20:43:00 +0000 2020,Tweet,,,
"President Trump keeps attacking the U.S. Postal Service, and now hundreds of thousands of veterans aren't getting their life-saving medications on time. It's despicable.

I promise you that as president, I will never put politics over the care of our nation's veterans. https://t.co/aXryhxVRtG",Joe Biden,Mon Aug 10 18:20:00 +0000 2020,Tweet,,,
"Donald Trump’s surrender to the pandemic has led to a resurgence of the virus and more economic pain and anxiety for millions of Americans. 

After six months of a nation in crisis, he still has no plan to get us through. But I do: https://t.co/SOVOPL7uPy",Joe Biden,Mon Aug 10 17:10:00 +0000 2020,Tweet,,,
"To the millions of Americans struggling to get by right now — those who can't find a job or pay the bills: I want you to know that I see you, and I won't forget you — and I'm going to fight every day in the White House to build an economy that works for you.",Joe Biden,Mon Aug 10 15:15:00 +0000 2020,Tweet,,,
Every single eligible American should have the opportunity to vote-by-mail this November. If it's good enough for Donald Trump — then it's good enough for you and me.,Joe Biden,Sun Aug 09 21:30:00 +0000 2020,Tweet,,,
