Text,Name,Created At,Tweet Type,
"I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",President Obama,Fri Jan 20 14:13:35 +0000 2017,Reply,
"As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",President Obama,Fri Jan 20 14:11:01 +0000 2017,Reply,
"I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",President Obama,Fri Jan 20 14:09:51 +0000 2017,Reply,
It's been the honor of my life to serve you. You made me a better leader and a better man.,President Obama,Fri Jan 20 14:09:13 +0000 2017,Tweet,
"Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people deserved that shot. https://t.co/4hPxG7hqHL",President Obama,Thu Jan 19 20:39:46 +0000 2017,Tweet,
"RT @FLOTUS44 : Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z",President Obama,Thu Jan 19 00:40:18 +0000 2017,Retweet,
"To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle. I love you. https://t.co/lvjfx418hn",President Obama,Tue Jan 17 14:59:24 +0000 2017,Tweet,
"From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",President Obama,Tue Jan 17 00:10:24 +0000 2017,Tweet,
"In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",President Obama,Mon Jan 16 19:50:31 +0000 2017,Reply,
"Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",President Obama,Mon Jan 16 19:49:25 +0000 2017,Tweet,
"That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",President Obama,Thu Jan 12 23:57:07 +0000 2017,Tweet,
"Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",President Obama,Wed Jan 11 04:52:08 +0000 2017,Tweet,
It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.,President Obama,Sun Jan 01 17:00:55 +0000 2017,Reply,
"From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal.",President Obama,Sun Jan 01 16:59:42 +0000 2017,Reply,
We brought home more of our troops &amp; strengthened U.S. leadership—leading with diplomacy &amp; partnering with nations to meet global problems.,President Obama,Sun Jan 01 16:53:57 +0000 2017,Reply,
