Text,Name,Created At,Tweet Type,,,
RT @realDonaldTrump : Big Stock Market Numbers!,President Trump,Tue Aug 11 12:35:26 +0000 2020,Retweet,,,
"RT @realDonaldTrump : More Testing, which is a good thing (we have the most in the world), equals more Cases, which is Fake News Gold. They use Cases to demean the incredible job being done by the great men &amp; women of the U.S. fighting the China Plague!",President Trump,Tue Aug 11 12:35:13 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We urge all Americans to apply common-sense mitigation."" https://t.co/S1HOlIKBcd",President Trump,Mon Aug 10 23:16:51 +0000 2020,Retweet,,,
RT @WhiteHouse : We have tested nearly 65 million people—and no other country is close. https://t.co/z0wwNb7or7,President Trump,Mon Aug 10 23:16:45 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Countries in every continent are seeing increases in cases in recent days."" https://t.co/rd0JtnVZpC",President Trump,Mon Aug 10 23:16:37 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""New jobs are rising, and unemployment is falling faster than nearly anyone thought ... over the past 3 months, we've created over 9 million jobs."" https://t.co/o2OsgNvFuY",President Trump,Mon Aug 10 23:16:30 +0000 2020,Retweet,,,
RT @realDonaldTrump : White House News Conference today at 5:30 P.M. Enjoy!,President Trump,Mon Aug 10 19:47:53 +0000 2020,Retweet,,,
RT @realDonaldTrump : CONGRATS to General Dynamic’s Bath Iron Works &amp; Local S6 on reaching a tentative agreement after the long strike. GD builds GREAT Arleigh-Burke destroyers. Super boost for Maine Economy. Glad to have helped. I’ve done a lot for Maine! https://t.co/6bXwvtje5P,President Trump,Mon Aug 10 17:45:43 +0000 2020,Retweet,,,
RT @realDonaldTrump : The student-athletes have been working too hard for their season to be cancelled. #WeWantToPlay https://t.co/lI3CCKZ4ID,President Trump,Mon Aug 10 17:45:20 +0000 2020,Retweet,,,
RT @realDonaldTrump : Thank you to Senator Bill Cassidy of Louisiana for his very smart words on the just signed Executive Orders!,President Trump,Mon Aug 10 15:01:17 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Portland, which is out of control, should finally, after almost 3 months, bring in the National Guard. The Mayor and Governor are putting people’s lives at risk. They will be held responsible. The Guard is ready to act immediately. The Courthouse is secured by Homeland!",President Trump,Mon Aug 10 14:57:11 +0000 2020,Retweet,,,
"RT @realDonaldTrump : So now Schumer and Pelosi want to meet to make a deal. Amazing how it all works, isn’t it. Where have they been for the last 4 weeks when they were “hardliners”, and only wanted BAILOUT MONEY for Democrat run states and cities that are failing badly? They know my phone number!",President Trump,Mon Aug 10 13:13:46 +0000 2020,Retweet,,,
"RT @realDonaldTrump : This is Fake News by the failing @nytimes &amp; bad ratings @CNN. Never suggested it although, based on all of the many things accomplished during the first 3 1/2 years, perhaps more than any other Presidency, sounds like a good idea to me! https://t.co/EHrA9yUsAw",President Trump,Mon Aug 10 01:09:50 +0000 2020,Retweet,,,
RT @realDonaldTrump : https://t.co/16JTBhdrl9,President Trump,Sat Aug 08 23:21:02 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump signed two important bills for our veterans—expanding eligibility for veterans with blindness and requiring the VA to establish a treatment court program. https://t.co/EEJYwqz0vG,President Trump,Sat Aug 08 23:21:00 +0000 2020,Retweet,,,
RT @WhiteHouse : The President's fourth directive today extends relief to student loan borrowers through the end of the year. https://t.co/sfZNOs0WlT,President Trump,Sat Aug 08 23:20:57 +0000 2020,Retweet,,,
RT @WhiteHouse : Today's third executive order provides for the continuation of expanded unemployment benefits. https://t.co/SvMquVZzDM,President Trump,Sat Aug 08 23:20:52 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump's second executive order today protects Americans from eviction. https://t.co/v0v0XEtrwN,President Trump,Sat Aug 08 21:17:11 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump's first executive order today provides a payroll tax holiday to Americans earning less than $100,000 per year. https://t.co/0VQGowNmx2",President Trump,Sat Aug 08 21:17:04 +0000 2020,Retweet,,,
"RT @WhiteHouse : Democrats are actively blocking support for K-12 schools, additional funding for businesses, money for hospitals, testing &amp; vaccines, direct payments to families, and more. https://t.co/wSSE9duCEL",President Trump,Sat Aug 08 21:16:56 +0000 2020,Retweet,,,
"RT @WhiteHouse : The Democrat bill is full of stipulations that have nothing to do with Coronavirus—including the mass release of inmates, even serious felons. https://t.co/0yz0IrzPJx",President Trump,Sat Aug 08 21:16:48 +0000 2020,Retweet,,,
"RT @WhiteHouse : We have already enacted over $3 trillion in historic Coronavirus relief. 

Today, President @realDonaldTrump is taking additional steps to protect Americans. https://t.co/8LItxgRO6i",President Trump,Sat Aug 08 21:16:39 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We have repeatedly stated our willingness to immediately sign legislation providing expanded unemployment benefits, protecting Americans from eviction, and providing additional relief payments to families.

Democrats have refused these offers."" https://t.co/4IRyWgtUhc",President Trump,Sat Aug 08 21:16:31 +0000 2020,Retweet,,,
RT @realDonaldTrump : Major News Conference in Ten Minutes!,President Trump,Sat Aug 08 20:10:05 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Today, I'm proud to announce a major victory for the workers of Tennessee and Kentucky.""

The Tennessee Valley Authority has cancelled planned layoffs and given hundreds of American workers their jobs back! https://t.co/jQ1uhfiO36",President Trump,Sat Aug 08 01:02:28 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump is pursuing a major executive order requiring health insurance companies to cover all pre-existing conditions. https://t.co/dXMJgjmo0w,President Trump,Sat Aug 08 00:54:26 +0000 2020,Retweet,,,
"RT @WhiteHouse : Important numbers not widely reported by the mainstream media: ""In the United States, more than 80 percent of jurisdictions report declining cases."" https://t.co/75wesMV9mB",President Trump,Sat Aug 08 00:52:44 +0000 2020,Retweet,,,
"RT @WhiteHouse : The Federal government and the private sector have worked together to provide crucial help to the state of New Jersey, including over: 

9 million N95 masks
27 million surgical masks 
3 million face shields
20 million gowns
668 million gloves https://t.co/TOyeaQdEpC",President Trump,Sat Aug 08 00:52:36 +0000 2020,Retweet,,,
"RT @WhiteHouse : Left-wing violent extremism is a serious threat to American lives and American freedom.

President @realDonaldTrump on the violence in Portland: https://t.co/oMouVwv9un",President Trump,Sat Aug 08 00:31:37 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump has spoken with President Aoun of Lebanon.

3 large aircraft are on the way with medical supplies, food, water, and emergency equipment to help. https://t.co/haYxQKbAdz",President Trump,Sat Aug 08 00:15:41 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump gives an update on payroll tax, enhanced unemployment benefits, student loan payments, and the eviction moratorium: https://t.co/5tOLVioJBw",President Trump,Sat Aug 08 00:15:34 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We added 1.8 million new jobs in July—exceeding predictions for the third month in a row."" https://t.co/7XfyI4PhEc",President Trump,Sat Aug 08 00:15:26 +0000 2020,Retweet,,,
"RT @WhiteHouse : On today's strong jobs numbers: ""Over the past 3 months, the United States has surpassed market expectations by a total of 12 million new jobs."" https://t.co/aUZ93mid3L",President Trump,Fri Aug 07 23:59:19 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Economic health is vital to public health.""

President @realDonaldTrump is holding a press conference in Bedminster, New Jersey. 👇 https://t.co/ZmBRviQWhg",President Trump,Fri Aug 07 23:59:12 +0000 2020,Retweet,,,
"RT @realDonaldTrump : I will be doing a news conference on the ChinaVirus, the just announced very good economic numbers, and the improving economy, at 7pm from Bedminster, New Jersey. Also, the subject of the Beirut, Lebanon catastrophe will be discussed.",President Trump,Fri Aug 07 22:34:20 +0000 2020,Retweet,,,
"RT @realDonaldTrump : ...We will be having a conference call on Sunday with President Macron, leaders of Lebanon, and leaders from various other parts of the world. Everyone wants to help!",President Trump,Fri Aug 07 22:34:06 +0000 2020,Retweet,,,
"RT @realDonaldTrump : ...At 3pm this afternoon, spoke to President Aoun of Lebanon to inform him that 3 large aircraft are on the way, loaded up with Medical Supplies, Food and Water. Also, First Responders, Technicians, Doctors, and Nurses on the way...",President Trump,Fri Aug 07 22:33:57 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Had a lengthy discussion this morning with President Macron of France concerning numerous subjects, but in particular the catastrophic event which took place in Beirut, Lebanon...",President Trump,Fri Aug 07 22:33:45 +0000 2020,Retweet,,,
RT @realDonaldTrump : Pelosi and Schumer only interested in Bailout Money for poorly run Democrat cities and states. Nothing to do with China Virus! Want one trillion dollars. No interest. We are going a different way!,President Trump,Fri Aug 07 21:05:26 +0000 2020,Retweet,,,
RT @realDonaldTrump : https://t.co/GCdlGJpOxc,President Trump,Fri Aug 07 14:58:49 +0000 2020,Retweet,,,
RT @realDonaldTrump : https://t.co/3Oe3SUds5k,President Trump,Fri Aug 07 14:53:28 +0000 2020,Retweet,,,
RT @realDonaldTrump : Great Jobs Numbers!,President Trump,Fri Aug 07 13:49:01 +0000 2020,Retweet,,,
RT @realDonaldTrump : https://t.co/8XG18cSqTr https://t.co/KHWhXoJG7L,President Trump,Fri Aug 07 00:44:33 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""I am fortunate enough to find my American dream within these four walls at Whirlpool."" 🇺🇸 https://t.co/p6Z9fkYP9V",President Trump,Fri Aug 07 00:44:26 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""I'm grateful for the support that we received in 2018 from the President,"" one @WhirlpoolCorp employee said. 

""That support gives us the ability to compete and deliver in the marketplace now and for many generations to come."" https://t.co/6dphNM3Pu9",President Trump,Fri Aug 07 00:44:24 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We're fighting for Main Street, not Wall Street. We have rejected globalism and embraced patriotism."" https://t.co/OQVCWwJrFg",President Trump,Thu Aug 06 21:17:53 +0000 2020,Retweet,,,
"RT @WhiteHouse : As a candidate, @realDonaldTrump stood before American workers and promised to put America FIRST on trade.

Promises made, promises kept! 🇺🇸 https://t.co/HDibWzXWNN",President Trump,Thu Aug 06 21:17:46 +0000 2020,Retweet,,,
"RT @WhiteHouse : Using the Defense Production Act, America is witnessing the fastest industrial mobilization since World War II.

Over the past 6 months, we have witnessed one manufacturing miracle after another. One auto parts facility even started making ventilators in just a matter of days! https://t.co/Khu1QwlTTU",President Trump,Thu Aug 06 21:17:38 +0000 2020,Retweet,,,
"RT @WhiteHouse : For too many years, Washington stood idly by as other countries drove American workers out of their jobs.

Not under President @realDonaldTrump! https://t.co/h68f6WY9xk",President Trump,Thu Aug 06 19:58:36 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump is laying out a vision to bring thousands more factories and millions more jobs back to American soil! 🇺🇸 https://t.co/3dUxpl1xjV,President Trump,Thu Aug 06 19:47:48 +0000 2020,Retweet,,,
RT @realDonaldTrump : Just departed for the Great State of Ohio! https://t.co/vAg0tdRFP8,President Trump,Thu Aug 06 16:52:41 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump has departed for Ohio, where he will deliver remarks at Whirlpool Corporation Manufacturing Plant and sign an executive order on buying American! 🇺🇸 https://t.co/oS2oXlSP0w",President Trump,Thu Aug 06 16:26:48 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Upon departing the Oval Office for Ohio, I’ve notified my staff to continue working on an Executive Order with respect to Payroll Tax Cut, Eviction Protections, Unemployment Extensions, and Student Loan Repayment Options.",President Trump,Thu Aug 06 15:58:15 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Sally Yates is either lying or grossly incompetent. It is not possible she could have known so little about Dirty Cop James Comey (and others) from her high position in the Department of “Justice”. The political Crime of the Century, and she had no idea what they were doing?",President Trump,Thu Aug 06 10:12:35 +0000 2020,Retweet,,,
RT @realDonaldTrump : “Cities across the Nation that are run by Democrats are in shambles.” Matt Walsh  @TuckerCarlson,President Trump,Thu Aug 06 10:11:16 +0000 2020,Retweet,,,
RT @WhiteHouse : Arizona alone has conducted over 1.1 million tests. https://t.co/ghBiDIx5lV,President Trump,Thu Aug 06 00:05:10 +0000 2020,Retweet,,,
"RT @WhiteHouse : More than 1,000 National Guard and medical personnel have been deployed in Arizona. 

“I want to thank them. They have been brave and brilliant.” https://t.co/1WmTUudYgx",President Trump,Thu Aug 06 00:05:03 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump recaps his meeting with Governor Doug Ducey of Arizona, ""a state that is a model for applying a science-based approach to the decreasing cases and hospitalizations without implementing a punishing lockdown."" https://t.co/m5ozEjdc1o",President Trump,Thu Aug 06 00:04:55 +0000 2020,Retweet,,,
"RT @WhiteHouse : If Democrats will not make a deal, President @realDonaldTrump will pursue executive action in order to extend economic relief for the American people. https://t.co/K8qhdvelzb",President Trump,Thu Aug 06 00:04:46 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Since the virus escaped China, my Administration has enacted $3 trillion in economic relief ... We've been negotiating in good faith with Democrat leaders in the House to extend relief payments."" https://t.co/ua1xXwDwm4",President Trump,Thu Aug 06 00:04:36 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump welcomed Arizona Governor @dougducey to the Oval Office to discuss the Coronavirus response. 

We have worked closely with Arizona to help protect the vulnerable, surge testing supplies to hard-hit areas, and provide medical supplies and personnel. https://t.co/SxsuylNsjd",President Trump,Wed Aug 05 20:13:16 +0000 2020,Retweet,,,
"RT @realDonaldTrump : .@CNN has no sources on the Task Force. Their “sources” are made up, pure fiction! Jim Acosta is a Fake reporter!",President Trump,Wed Aug 05 14:15:55 +0000 2020,Retweet,,,
RT @realDonaldTrump : I will be interviewed on @foxandfriends at 7:30 A.M. Enjoy!,President Trump,Wed Aug 05 10:29:50 +0000 2020,Retweet,,,
"RT @realDonaldTrump : For those that thought I wasn’t into the Environment, this is the biggest bill ever passed, by far. I wonder if this will silence the Fake News? Probably not! https://t.co/hJnesKXTcL",President Trump,Wed Aug 05 10:29:28 +0000 2020,Retweet,,,
"RT @realDonaldTrump : There is TREMENDOUS Lawlessness in America’s Liberal Cities. Would be so easy to stop but they have a clouded vision of what should be done. They are indoctrinated with a philosophy which will never work, a philosophy which would destroy America. Portland would be the norm!",President Trump,Wed Aug 05 10:02:01 +0000 2020,Retweet,,,
RT @realDonaldTrump : Great meeting today with the CoronaVirus Task Force in the Oval Office. Stay informed at: https://t.co/p9j7kZsD7b. https://t.co/nnnUHCzOLV,President Trump,Tue Aug 04 23:06:51 +0000 2020,Retweet,https://pbs.twimg.com/media/EenKAXkX0AEoYCA.jpg,https://pbs.twimg.com/media/EenKAXrWAAExQRO.jpg,https://pbs.twimg.com/media/EenKAXpWsAAGE4Z.jpg
"RT @WhiteHouse : The latest numbers on PPE: @fema and @HHSGov have worked with the private sector to deliver over 200 million N95 masks, 855 million surgical masks, 36 million goggles and face shields, 364 million gowns and coveralls, and 21 billion gloves! https://t.co/8tHSpNXP69",President Trump,Tue Aug 04 23:06:25 +0000 2020,Retweet,,,
RT @WhiteHouse : We have far and away the most robust testing capacity in the world. https://t.co/bSJMkhD3uH,President Trump,Tue Aug 04 23:06:22 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""As we shelter those at high risk, we are also pouring every resource at our disposal into the development of therapies and vaccines.

Two vaccines candidates are currently in the final stage of clinical trials,"" with several more entering Phase 3 in the coming weeks. https://t.co/cgdfuqVvtR",President Trump,Tue Aug 04 23:06:18 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Thanks to our major advances in treatment, we've seen vast improvements in recovery rates across all age groups . . .

The best path forward is an aggressive strategy focused on protecting Americans at highest risk."" https://t.co/zQDvULilwp",President Trump,Tue Aug 04 23:06:14 +0000 2020,Retweet,,,
"RT @WhiteHouse : The ISM Manufacturing Index ""increased for the third month in a row . . . [to] the highest reading since March of 2019."" https://t.co/lTNHd8a1na",President Trump,Tue Aug 04 23:06:12 +0000 2020,Retweet,,,
RT @WhiteHouse : We continue to monitor Tropical Storm Isaias closely. https://t.co/qKSVWpXCoy,President Trump,Tue Aug 04 23:06:09 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Let me begin by sending America's deepest sympathies to the people of Lebanon."" https://t.co/CZitqk2A0S",President Trump,Tue Aug 04 22:23:59 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Today we celebrated the passage of landmark legislation that will preserve America’s majestic natural wonders, priceless historic treasures, grand national monuments, and glorious national parks. It was my great honor to sign the Great American Outdoors Act into law! #HR1957 https://t.co/KxDgpidQH2",President Trump,Tue Aug 04 19:47:44 +0000 2020,Retweet,,,
RT @realDonaldTrump : I am deeply saddened by the tragic loss of eight Marines and one Sailor during a training exercise off the coast of California. Our prayers are with their families. I thank them for the brave service their loved ones gave to our Nation. #SemperFidelis,President Trump,Tue Aug 04 19:27:11 +0000 2020,Retweet,,,
"RT @WhiteHouse : Theodore Roosevelt called our incredible national parks ""the most glorious heritage a people ever received.""

After decades of neglect, we are once again taking care of America's historic sites, lush forests, towering mountains, windswept prairies, precious wetlands and wildlife. https://t.co/zyizwCrf5w",President Trump,Tue Aug 04 18:18:00 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump has advanced important efforts to ""protect our treasured environment without bludgeoning our workers and crushing our businesses."" https://t.co/P1ookYkIAz",President Trump,Tue Aug 04 18:17:50 +0000 2020,Retweet,,,
RT @realDonaldTrump : https://t.co/KimkBKBhX5,President Trump,Tue Aug 04 16:35:44 +0000 2020,Retweet,,,
"RT @WhiteHouse : The Great American Outdoors Act guarantees $900 million each year for the Land and Water Conservation Fund, used to repair and maintain wildlife parks, national monuments, historic battlefields, and more. https://t.co/cUfRyXhNRC",President Trump,Tue Aug 04 16:04:35 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""Today we're making the most significant investment in our parks since the administration of the legendary conservationist President Theodore Roosevelt!"" https://t.co/e6KIJ1Acab",President Trump,Tue Aug 04 16:04:28 +0000 2020,Retweet,,,
RT @WhiteHouse : The Great American Outdoors Act is landmark legislation that will help to preserve our majestic national parks for generations to come! https://t.co/YbKeQP550o,President Trump,Tue Aug 04 16:04:19 +0000 2020,Retweet,,,
RT @realDonaldTrump : Happy 230th Birthday @USCG!! https://t.co/c2cXCEDF2x https://t.co/QsUJsWbmDh,President Trump,Tue Aug 04 13:19:34 +0000 2020,Retweet,,,
RT @realDonaldTrump : People are not happy that players are not standing for our National Anthem!,President Trump,Tue Aug 04 12:37:08 +0000 2020,Retweet,,,
RT @realDonaldTrump : OPEN THE SCHOOLS!!!,President Trump,Tue Aug 04 10:25:05 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We've vastly expanded coverage allowing Medicare to cover more than 135 new services through telehealth."" https://t.co/UafmuwV0jW",President Trump,Mon Aug 03 22:33:58 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump's latest order builds upon a series of actions we've taken to make telehealth available to ALL! 

We ensured that Medicare covers telehealth visits at no additional cost and co-payments can be waived! https://t.co/6cWPXqzO3d",President Trump,Mon Aug 03 22:33:51 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump just signed an executive order to ensure telehealth is here to stay! https://t.co/MRaI0vm10S,President Trump,Mon Aug 03 22:33:42 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""We must focus on protecting those at highest risk while allowing younger and healthier Americans to resume work and school with careful precautions."" https://t.co/u4cAvq0p37",President Trump,Mon Aug 03 22:20:51 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""I urge all Americans to continue to socially distance, wash your hands, wear a mask when you cannot avoid crowded places, and to protect the elderly."" https://t.co/uCwcP6oGmF",President Trump,Mon Aug 03 22:20:44 +0000 2020,Retweet,,,
"RT @WhiteHouse : We're beginning to see evidence that the Coronavirus is receding around the country.

By the numbers: https://t.co/5xi4wf4Z7z",President Trump,Mon Aug 03 22:20:37 +0000 2020,Retweet,,,
"RT @WhiteHouse : The coastal areas of North Carolina, Virginia, Maryland, Delaware, and New Jersey are expected to see heavy wind and rain over the next several days.

Remain vigilant and follow the guidelines of state and local authorities! https://t.co/TouOTUWh8G",President Trump,Mon Aug 03 22:20:30 +0000 2020,Retweet,,,
RT @WhiteHouse : President @realDonaldTrump gives an update on Tropical Storm Isaias: https://t.co/5snaYnZdef,President Trump,Mon Aug 03 22:20:23 +0000 2020,Retweet,,,
