Text,Name,Created At,Tweet Type
"Joe Biden names Kamala Harris as his running mate, making her the first Black and South Asian American woman on a major US party's presidential ticket https://t.co/D83VgTUTZu",CNN Breaking News,Tue Aug 11 20:25:49 +0000 2020,Tweet
"Rep. Karen Bass of California was told by Joe Biden that she was not the vice presidential pick, a source says. Follow live updates: https://t.co/qO3WkqeQou https://t.co/Eo9uLCLkEe",CNN Breaking News,Tue Aug 11 20:00:31 +0000 2020,Tweet
The Big Ten conference has postponed the 2020 football season due to the pandemic. Follow live updates: https://t.co/b1EPlsB0G4 https://t.co/wq4IV1EKoV,CNN Breaking News,Tue Aug 11 19:22:00 +0000 2020,Tweet
"Joe Biden has selected his running mate, revealing to top advisers the woman he will invite to join his ticket, two people familiar with the matter say https://t.co/QxIaV9fxv0",CNN Breaking News,Tue Aug 11 18:47:55 +0000 2020,Tweet
Florida is again reporting a record number of coronavirus-related deaths https://t.co/q9xTZzAAsZ https://t.co/pstwF6eseK,CNN Breaking News,Tue Aug 11 16:42:53 +0000 2020,Tweet
"Florida reports a 137% increase in virus infections in kids in the past month. During that same time period, hospitalizations jumped 105%. https://t.co/SHLBIFV8lQ",CNN Breaking News,Tue Aug 11 13:45:15 +0000 2020,Tweet
"US Health and Human Services Secretary Alex Azar reacts to Russia's announcement that it approved a ""world first"" Covid-19 vaccine: ""The point is to have a vaccine that is safe,"" not to be first https://t.co/LLA0V9UA1C https://t.co/Bw3oJzdkyz",CNN Breaking News,Tue Aug 11 13:37:21 +0000 2020,Tweet
"New Zealand's Prime Minister Jacinda Ardern confirms four new locally transmitted coronavirus cases, and announces that the country's most populous city will temporarily see level three restrictions https://t.co/uRleVcN7gL",CNN Breaking News,Tue Aug 11 11:11:46 +0000 2020,Tweet
"Vladimir Putin says Russia has approved a coronavirus vaccine, but there are fears that essential corners may have been cut in its development https://t.co/E3OoVg2Ijl",CNN Breaking News,Tue Aug 11 10:10:47 +0000 2020,Tweet
"Seattle Police Chief Carmen Best announced her retirement, shortly after a city council vote to cut nearly $4 million from the department's budget https://t.co/2otAUYe7Ba",CNN Breaking News,Tue Aug 11 07:11:27 +0000 2020,Tweet
"RT @CNNBusiness : Hong Kong newspaper Apple Daily has increased its production and vowed to keep operating after police raided its office and arrested its founder, Jimmy Lai https://t.co/9DybqmntDz",CNN Breaking News,Tue Aug 11 06:28:28 +0000 2020,Retweet
"The world passes 20 million coronavirus cases and nears 750,000 deaths five months after the pandemic was declared
https://t.co/OY6t3zIQkb https://t.co/4MU9PF6Ns5",CNN Breaking News,Tue Aug 11 00:59:24 +0000 2020,Tweet
"A California court orders Uber and Lyft to reclassify their drivers in the state as employees
https://t.co/AOoNlHKAbV",CNN Breaking News,Mon Aug 10 22:48:29 +0000 2020,Tweet
"President Trump was briefly evacuated from the White House briefing room. He returned and said there had been a shooting outside the White House.
https://t.co/Hmq52IRkTh",CNN Breaking News,Mon Aug 10 22:18:08 +0000 2020,Tweet
"RT @CNNPolitics : President Trump says he will deliver his convention speech from either the site of the 1863 Battle of Gettysburg in Pennsylvania or the White House in Washington, DC https://t.co/L2XgVeb3sP https://t.co/OEKOnpYxzM",CNN Breaking News,Mon Aug 10 21:09:52 +0000 2020,Retweet
"A dangerous storm with wind gusts up to 100 mph is moving out of Iowa and into northern Illinois, the National Weather Service's Storm Prediction Center says
https://t.co/U7ty8FSwKb",CNN Breaking News,Mon Aug 10 18:48:20 +0000 2020,Tweet
"Mexico City Mayor Claudia Sheinbaum is in self-isolation after a colleague tested positive for Covid-19
https://t.co/LfRhubxcsf https://t.co/afVqb8faii",CNN Breaking News,Mon Aug 10 17:44:01 +0000 2020,Tweet
More than 100 people were arrested in Chicago after an overnight fit of violence that appears to have begun with police exchanging gunfire with a 20-year-old man https://t.co/d6swtUOBgS,CNN Breaking News,Mon Aug 10 16:18:43 +0000 2020,Tweet
"Several people, including children, are trapped after a ""major explosion"" in a residential area in Baltimore, Maryland https://t.co/l3TNHekIdr",CNN Breaking News,Mon Aug 10 15:12:45 +0000 2020,Tweet
"Ousted McDonald's CEO Steve Easterbrook lied about engaging in sexual relationships with multiple employees, the company alleges in a new lawsuit
 https://t.co/9eM1OTPLd1",CNN Breaking News,Mon Aug 10 13:36:15 +0000 2020,Tweet
"China imposes sanctions on 11 Americans, including Sens. Marco Rubio, Ted Cruz and Tom Cotton, for ""behaving badly on Hong Kong-related issues""
 https://t.co/JD2h1rtktc",CNN Breaking News,Mon Aug 10 13:05:20 +0000 2020,Tweet
"Former WWE wrestler James Harris has died at age 70, according to a news release from the wrestling company https://t.co/8yrQcLP8az",CNN Breaking News,Mon Aug 10 04:59:28 +0000 2020,Tweet
"President Trump says he's open to allowing enhanced federal unemployment benefits without states paying part of the cost, despite his Saturday memorandum
https://t.co/L43gvWHmVJ",CNN Breaking News,Mon Aug 10 00:47:06 +0000 2020,Tweet
