Text,Name,Created At,Tweet Type,,,
RT @nytpolitics : BREAKING: Senator Kamala Harris of California is Joe Biden’s pick for vice president. She’s the first Black woman on a major party ticket.  https://t.co/eeUpCBfA5C,The New York Times,Tue Aug 11 20:29:50 +0000 2020,Retweet,,,
"RT @alexburnsNYT : ""Ms. Harris, 55, is the first Black woman and the first person of Indian descent to be nominated for national office by a major party, and only the fourth woman in history to be chosen for one of their presidential tickets.""

@katieglueck &amp; me 👇
https://t.co/tRllJx6ngY",The New York Times,Tue Aug 11 20:25:36 +0000 2020,Retweet,,,
"RT @katieglueck : ""A pragmatic moderate who spent most of her career as a prosecutor, Ms. Harris was seen throughout the vice-presidential search as among the safest choices available to Mr. Biden.""

on Biden's decision, with @alexburnsNYT 
https://t.co/vN1Uv5UuKI",The New York Times,Tue Aug 11 20:24:36 +0000 2020,Retweet,,,
"Breaking News: Sen. Kamala Harris of California is Joe Biden’s pick for vice president. A pragmatic moderate, she is the first Black woman on a major party ticket. https://t.co/Ttvh5RyxUB https://t.co/NMcIz60ckH",The New York Times,Tue Aug 11 20:21:12 +0000 2020,Tweet,,,
RT @carlzimmer : Here’s my @nytimes story on the reaction of vaccine experts to Russia’s announcement that they’re approving a covid19 vaccine before Phase 3 trials. TL;DR: 🚨🚨🚨🚨https://t.co/7q9VQm2l1b,The New York Times,Tue Aug 11 19:47:51 +0000 2020,Retweet,,,
"Breaking News: The Big Ten postponed its college football season to 2021, making the league the first marquee conference to abandon plans to play this fall. Its decision could have major implications for the rest of college sports. https://t.co/tLjJCIegCU",The New York Times,Tue Aug 11 19:32:54 +0000 2020,Tweet,,,
"As many U.S. school districts resume in-person classes, especially in the South, concerns are growing that new clusters of coronavirus cases at schools and among high school sports teams could spread to the wider community https://t.co/GjwgHlIOcn https://t.co/PWoF2DlBUq",The New York Times,Tue Aug 11 19:25:30 +0000 2020,Tweet,,,
"RT @tariro : I'm a Meghan Markle and Prince Harry stan (shocker), and I couldn't wait to get my hands on Finding Freedom. I — well, here's my review for @nytimesbooks.  https://t.co/egu6CuPaTM",The New York Times,Tue Aug 11 19:00:12 +0000 2020,Retweet,,,
"For some of President Trump’s loudest cheerleaders, it was a story too good to check out: protesters burning Bibles. It now appears to have been exaggerated, and one of the first viral Russian disinformation hits of the 2020 campaign. https://t.co/PpuvaGcBKp",The New York Times,Tue Aug 11 18:40:06 +0000 2020,Tweet,,,
"RT @heytherehaIey : Eleven weeks after George Floyd was killed by the police, a judge has released body camera footage of the episode to the public. We broke down key moments that help explain what happened. A warning: These videos include graphic imagery. https://t.co/atM6NYATQk",The New York Times,Tue Aug 11 18:30:08 +0000 2020,Retweet,,,
"The size and scope of social protests in cities like Chicago since George Floyd’s death have broadened support for the Black Lives Matter movement, but some activists remain skeptical of their new allies’ commitment. https://t.co/rpm1OHLaZJ",The New York Times,Tue Aug 11 18:20:02 +0000 2020,Tweet,,,
"“We’ve had this notion in people’s heads that it’s OK because young people don’t get sick from this virus and young people certainly don’t die from it,” said and an assistant professor of epidemiology. “Well, that isn’t true.” https://t.co/SraL9mPaKX https://t.co/HUXkL8IPC1",The New York Times,Tue Aug 11 18:03:43 +0000 2020,Reply,,,
"Young Floridians who died from the coronavirus were disproportionately Black. Among people ages 25-44, African-Americans make up 18 percent of Florida’s population but have accounted for 44 percent of Covid deaths. https://t.co/SraL9mPaKX https://t.co/7uRJqifCoX",The New York Times,Tue Aug 11 18:03:43 +0000 2020,Reply,,,
