Text,Name,Created At,Tweet Type
Any attempt for @JoeBiden to try and call himself a moderate went bye bye https://t.co/XQp3mJgJwI,Sean Spicer,Wed Aug 12 00:17:28 +0000 2020,Tweet
I’ve never been so happy to have been wrong.  Thank you https://t.co/XQp3mJgJwI,Sean Spicer,Tue Aug 11 20:25:24 +0000 2020,Tweet
"Senator @LindseyGrahamSC demands @FBI director address allegations bureau misled senators about #Steele Dossier
https://t.co/WIgWei1Qyi",Sean Spicer,Tue Aug 11 19:10:29 +0000 2020,Tweet
.@DemConvention announces line up -- I wonder how @AOC feels about speaking right before @BillClinton https://t.co/rrueT23Nr0,Sean Spicer,Tue Aug 11 16:50:30 +0000 2020,Tweet
"This was the right move by the US gov - Hong Kong goods for export to U.S. to be labelled made in China
via @Reuters 
https://t.co/2TC5FY2LPf",Sean Spicer,Tue Aug 11 15:52:04 +0000 2020,Tweet
"Dr Li-Meng Yan, the virologist who helped expose China’s cover up of #COVID19 , will join us on #spicerandco tonight at 6pm on @newsmax",Sean Spicer,Tue Aug 11 15:07:04 +0000 2020,Tweet
RT @RepLeeZeldin : This is exactly why there needs to be an independent review of NY’s COVID-19 nursing home policy that resulted in the deaths of thousands of the state’s seniors. There are so many heartbroken NY families desperately searching for answers &amp; accountability. Cuomo prefers a coverup. https://t.co/Em7Xf8izx9,Sean Spicer,Tue Aug 11 15:05:25 +0000 2020,Retweet
"RT @seanspicer : ""Just know this isn't as innocent as it appears"" 

@SecPompeo on the threat of #tiktok and their data and privacy violations --- WATCH: https://t.co/OKkkdsLjPk https://t.co/PqdGsUveYO",Sean Spicer,Tue Aug 11 02:20:40 +0000 2020,Retweet
"RT @leezeldin : What we are witnessing in Chicago, Portland, Seattle and NYC right now is a warning shot of what one party Democrat rule would look like throughout our great country with the radical left in charge. https://t.co/pLzh9Zu28l",Sean Spicer,Tue Aug 11 02:10:07 +0000 2020,Retweet
The transcript of my interview with @SecPompeo on @newsmax via @StateDept https://t.co/BSVgv3kQ5K,Sean Spicer,Tue Aug 11 02:09:03 +0000 2020,Tweet
"RT @seanspicer : ""Help the Chinese Communist Party understand you're not going to take action against Americans without President Trump responding"" 

@SecPompeo joins us to discuss the threat that we face in the Chinese Communist Party. @StateDept

WATCH: https://t.co/OKkkdsLjPk https://t.co/rJI8sot6mw",Sean Spicer,Tue Aug 11 01:20:11 +0000 2020,Retweet
"""Just know this isn't as innocent as it appears"" 

@SecPompeo on the threat of #tiktok and their data and privacy violations --- WATCH: https://t.co/OKkkdsLjPk https://t.co/PqdGsUveYO",Sean Spicer,Mon Aug 10 22:35:07 +0000 2020,Tweet
"""Help the Chinese Communist Party understand you're not going to take action against Americans without President Trump responding"" 

@SecPompeo joins us to discuss the threat that we face in the Chinese Communist Party. @StateDept

WATCH: https://t.co/OKkkdsLjPk https://t.co/rJI8sot6mw",Sean Spicer,Mon Aug 10 22:32:10 +0000 2020,Tweet
"RT @newsmax : CHINA'S MILITARY: Secretary of State @SecPompeo briefs you on possible emerging threats from China and beyond - 6PM ET with @seanspicer.

WATCH LIVE on Newsmax TV: https://t.co/VlT7z8drtO https://t.co/KD6jvIT9d2",Sean Spicer,Mon Aug 10 21:42:03 +0000 2020,Retweet
Intel reports show #China prefers @JoeBiden in #Election2020 - tonight at 6pm on #spicerandco I’ll ask @StateDept @SecPompeo about concerns over election interference on @newsmax,Sean Spicer,Mon Aug 10 19:26:12 +0000 2020,Tweet
"RT @newsmax : PROGRAM ALERT 🚨:

• @SecPompeo and commentator @DavidLimbaugh join @seanspicer at 6:00 PM ET
• @gregkellyusa welcomes @RudyGiuliani, @SteveForbesCEO and more at 7:00

ONLY ON Newsmax TV. WATCH LIVE: https://t.co/VlT7z8v2lm https://t.co/2CgBdrikwR",Sean Spicer,Mon Aug 10 19:15:23 +0000 2020,Retweet
"with friends like these.....'No one in my judgment who is outstanding': Ed Rendell grades Biden vice presidential options
#VPPick 

https://t.co/t0FE0AnIye",Sean Spicer,Mon Aug 10 16:04:39 +0000 2020,Tweet
They do!  @POTUS @realDonaldTrump voted absentee.   Every American in every state can and has been able to vote absentee. https://t.co/vaxOipeghH,Sean Spicer,Mon Aug 10 12:44:02 +0000 2020,Tweet
Rhode Island is the only state that celebrates Victory Day – here’s why https://t.co/f5bS1EBe0s,Sean Spicer,Mon Aug 10 12:14:12 +0000 2020,Tweet
16 states will start voting before the first debate - @potus @realDonaldTrump wants to add a debate or move the schedule up - @JoeBiden won't agree. Why? Commission on @debates says it will try if both agree but Biden team says it won't  h/t @axios,Sean Spicer,Mon Aug 10 02:12:52 +0000 2020,Tweet
These are not the droids you are looking for https://t.co/dXwlGPlahN,Sean Spicer,Mon Aug 10 01:06:35 +0000 2020,Tweet
"“At least 21 people were shot Sunday at a gathering in S.E. Washinton, DC...There have now been more than 115 people slain in the District this year, a 17 percent increase over this time in 2019, which ended the year with a decade high."" via the @washingtonpost",Sean Spicer,Sun Aug 09 16:55:16 +0000 2020,Tweet
Former Congressman @jasoninthehouse is right on @FoxNewsSunday - if you are concerned about foreign interference in #Election2020 than you should be worried about all mail in vote and the potential of fraud,Sean Spicer,Sun Aug 09 13:56:34 +0000 2020,Tweet
.@NPR has admitted TikTok is one of its funders -- TikTok is a tool of the Chinese Communist Party that threatens our national security - its time to defund NPR,Sean Spicer,Sun Aug 09 01:29:01 +0000 2020,Tweet
Dont ask the commission just announce - @realDonaldTrump will show -- will @JoeBiden ? https://t.co/fWDTCYeNsR,Sean Spicer,Sun Aug 09 01:27:11 +0000 2020,Tweet
"RT @KristiNoem : South Dakota is open for a presidential #debate. 

Debates are a critical part of the election process. The American people deserve the opportunity to contrast the candidates' positions and intellect in an unscripted setting. https://t.co/SReTRJWTt9",Sean Spicer,Sun Aug 09 01:26:25 +0000 2020,Retweet
"after hyping vote by mail the media is beginning to cast doubt on the post office beginning the narrative that a @realdonaldtrump win isn't legitimate 

https://t.co/cqoKrkSLDI",Sean Spicer,Sun Aug 09 01:21:43 +0000 2020,Tweet
The first presidential debate is September 29th - many states will have started to allow voters to vote by then - the @debates commission should either move them up or add one but voters deserve to see @realDonaldTrump &amp; @JoeBiden together before casting a vote,Sean Spicer,Sun Aug 09 00:51:19 +0000 2020,Tweet
"Left wing group mails 587,638 erroneous absentee ballot applications to Virginia voters https://t.co/nA5K5XyrMV via @mercuryvirginia",Sean Spicer,Sat Aug 08 21:37:55 +0000 2020,Tweet
I cant wait to see which Democrat sues to stop @POTUS @realDonaldTrump from providing relief to Americans in need ....I’m betting someone who is retiring and knows they will never run again,Sean Spicer,Sat Aug 08 21:10:11 +0000 2020,Tweet
"As much as @maureendowd and @nytimes may want to forget it @HillaryClinton and @timkaine ran last cycle - although if you live in Wisconsin you may not have known it

https://t.co/3qUXU7lx4T",Sean Spicer,Sat Aug 08 21:07:54 +0000 2020,Tweet
The action on DACA by the Obama Administration set the precedent for this kind of Executitve Action,Sean Spicer,Sat Aug 08 21:05:21 +0000 2020,Tweet
"RT @AriFleischer : “Do not expect this to be the last time Biden makes a gaffe involving race. But do expect the corporate media to use all their power to protect him when he does. The question is, will that power be enough?” https://t.co/iAkOASPKNk",Sean Spicer,Sat Aug 08 20:16:20 +0000 2020,Retweet
RT @JudsonSapp : Preparing for my interview on @newsmax @seanspicer #BackTheBlue #GatorBait https://t.co/4KTHvOs1aP,Sean Spicer,Sat Aug 08 19:19:58 +0000 2020,Retweet
Sources confirm that the RNC is about to drop a boatload of oppo on @pdoocy,Sean Spicer,Sat Aug 08 18:42:51 +0000 2020,Tweet
".@nytimes  panned after op-ed claims it's been '36 years' since a man and woman ran together on Dem ticket
(Hint, it was last cycle)
https://t.co/3qUXU7lx4T",Sean Spicer,Sat Aug 08 18:41:35 +0000 2020,Tweet
watching @adamcarolla on @GovMikeHuckabee show on @newsmax now &amp; notes that #NoSafeSpaces documentary about free speech with @DennisPrager was number 1 in the nation last year but @netflix refuses to carry it...its amazing how scared they are of viewers seeing an alternative view,Sean Spicer,Sat Aug 08 17:36:27 +0000 2020,Tweet
"Media offer a glimpse of what journalism will look like under President Biden: Subservient
via @BecketAdams @dcexaminer 
https://t.co/73gisav87s",Sean Spicer,Sat Aug 08 02:54:04 +0000 2020,Tweet
"An Autopsy of New York’s Mail-Vote Mess
via @WSJopinion 
https://t.co/dNV0eyU8l8",Sean Spicer,Sat Aug 08 02:23:04 +0000 2020,Tweet
"MSNBC producer (@kylegriffin1) ripped for tweet on Russia's election push for Trump that ignores China and Iran's hopes for Biden

https://t.co/UOB68CUnb3",Sean Spicer,Fri Aug 07 23:13:53 +0000 2020,Tweet
RT @seanspicer : I asked @seanhannity if he could have had the success story he does if he were a young person now and Joe Biden won the election -- WATCH: https://t.co/hkPXetSG6a https://t.co/fpgkIBDeQA,Sean Spicer,Fri Aug 07 15:29:30 +0000 2020,Retweet
